id,district,lor,street,month,hour,weekday,injury,collision,movement,light_conditions,bicycle,car,pedestrian,motorbike,truck,other_vehicle,road_conditions,longitude,latitude,Combo_type
193157,Marzahn-Hellersdorf,10040933,Mahlsdorf Süd,March,17,Wednesday,minor,2,Driving,Dawn,0,1,0,0,0,0,Dry,13.60672,52.48966,car + 
193158,Mitte,1044102,Schillerpark,March,17,Wednesday,minor,5,Turning,Daylight,1,1,0,0,0,0,Dry,13.34646,52.55701,bicycle + car + 
193159,Charlottenburg-Wilmersdorf,4020311,Reichsstraße,March,8,Tuesday,minor,2,Stationary Traffic,Daylight,0,1,0,0,0,0,Dry,13.27662,52.51245,car + 
193160,Lichtenberg,11030721,Rüdigerstraße,March,16,Wednesday,minor,2,Turning,Daylight,0,1,0,0,0,0,Dry,13.47999,52.51709,car + 
193161,Lichtenberg,11010205,Falkenberg West,March,16,Wednesday,minor,2,Turning,Night,0,1,0,0,0,0,Dry,13.52768,52.55733,car + 
193162,Neukölln,8020727,Buckow Mitte,March,16,Thursday,serious,2,Stationary Traffic,Daylight,0,1,0,0,0,0,Wet,13.4347,52.42289,car + 
193163,Friedrichshain-Kreuzberg,2040703,Wriezener Bahnhof/Entwicklungsgebiet,March,16,Wednesday,minor,3,Stationary Traffic,Daylight,1,0,0,0,1,0,Dry,13.44597,52.502,bicycle + truck + 
193164,Mitte,1011303,Alexanderplatzviertel,March,9,Wednesday,minor,5,Turning,Daylight,1,1,0,0,0,0,Dry,13.40276,52.52135,bicycle + car + 
193165,Reinickendorf,12214424,Scharnweberstraße,March,20,Tuesday,serious,0,Other,Night,0,0,0,1,0,0,Wet,13.32901,52.56339,motorbike + 
193166,Reinickendorf,12103115,Breitkopfbecken,March,22,Wednesday,serious,5,Turning,Night,0,1,0,0,0,0,Dry,13.36118,52.57049,car + 
193167,Mitte,1033202,Humboldthain Süd,March,18,Wednesday,minor,9,Driving,Night,0,0,0,0,0,1,Dry,13.38003,52.54032,other
193168,Mitte,1011402,Arkonaplatz,March,10,Thursday,minor,0,Other,Daylight,1,0,0,0,0,0,Wet,13.40515,52.53887,bicycle + 
193169,Steglitz-Zehlendorf,6020302,Komponistenviertel Lankwitz,March,16,Wednesday,minor,2,Stationary Traffic,Daylight,0,1,0,0,0,0,Dry,13.33186,52.44237,car + 
193170,Marzahn-Hellersdorf,10010207,Marzahner Promenade,March,19,Tuesday,minor,5,Crossing,Night,1,1,0,0,0,0,Dry,13.55428,52.54493,bicycle + car + 
193171,Mitte,1044101,Rehberge,March,16,Wednesday,minor,5,Crossing,Daylight,0,1,0,0,0,0,Dry,13.33439,52.55741,car + 
193172,Friedrichshain-Kreuzberg,2010102,Mehringplatz,March,18,Tuesday,minor,1,Paralle Traffic,Dawn,1,0,0,0,0,1,Dry,13.39917,52.50684,bicycle + other
193173,Friedrichshain-Kreuzberg,2030302,Lausitzer Platz,March,15,Wednesday,minor,1,Paralle Traffic,Daylight,1,1,0,0,0,0,Dry,13.43989,52.50214,bicycle + car + 
193174,Reinickendorf,12224230,Heiligensee,March,15,Wednesday,minor,0,Other,Daylight,0,1,0,0,0,0,Dry,13.24019,52.61866,car + 
193175,Pankow,3061227,Humannplatz,March,15,Wednesday,serious,5,Crossing,Daylight,0,1,0,1,0,1,Dry,13.42742,52.55241,car + motorbike + other
193176,Mitte,1022102,Beusselkiez,March,16,Tuesday,minor,5,Turning,Daylight,0,1,0,0,0,0,Dry,13.32854,52.53112,car + 
193177,Friedrichshain-Kreuzberg,2050601,Hausburgviertel,March,12,Wednesday,minor,3,Stationary Traffic,Daylight,1,0,0,0,0,0,Dry,13.45159,52.52757,bicycle + 
193178,Reinickendorf,12214424,Scharnweberstraße,March,12,Wednesday,minor,6,Overtaking,Daylight,1,0,1,0,0,0,Dry,13.32706,52.56336,bicycle + pedestrian + 
